# Program:featureCounts v2.0.6; Command:"featureCounts" "-p" "-B" "-a" "/home/mimansa/RNA_PROJECT/whole_genome/Saccharomyces_cerevisiae.R64-1-1.115.gtf" "-o" "/home/mimansa/RNA_PROJECT/results/counts_pPB.txt" "/home/mimansa/RNA_PROJECT/alignments/SRR30570749.sorted.bam" "/home/mimansa/RNA_PROJECT/alignments/SRR30570750.sorted.bam" "/home/mimansa/RNA_PROJECT/alignments/SRR30570751.sorted.bam" "/home/mimansa/RNA_PROJECT/alignments/SRR30570752.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	/home/mimansa/RNA_PROJECT/alignments/SRR30570749.sorted.bam	/home/mimansa/RNA_PROJECT/alignments/SRR30570750.sorted.bam	/home/mimansa/RNA_PROJECT/alignments/SRR30570751.sorted.bam	/home/mimansa/RNA_PROJECT/alignments/SRR30570752.sorted.bam
YDL246C	IV	8683	9756	-	1074	22	14	6	18
YDL243C	IV	17577	18566	-	990	351	254	293	286
YDR387C	IV	1248154	1249821	-	1668	847	629	831	754
YDL094C	IV	289572	290081	-	510	46	59	57	27
YDR438W	IV	1338274	1339386	+	1113	566	440	459	409
YDR523C	IV	1485566	1487038	-	1473	60	79	49	67
YDR542W	IV	1523249	1523611	+	363	2	0	0	0
YDR492W	IV	1434924	1435874	+	951	1390	1449	1017	914
YDR018C	IV	482670	483860	-	1191	566	336	328	380
YDL189W	IV	122216	123589	+	1374	623	723	510	766
YDR508C	IV	1466453	1468444	-	1992	6485	5094	5993	6006
YDR462W	IV	1386073	1386516	+	444	1287	975	841	815
YDR175C	IV	813193	814152	-	960	1434	1250	1092	1542
YDR186C	IV	832859	835492	-	2634	1733	1928	1697	1659
YDR150W	IV	755628	763874	+	8247	5995	10225	5324	7045
YDR243C	IV	948518	950284	-	1767	472	825	515	678
YDL182W	IV	133437	134723	+	1287	1696	1382	1646	1401
YDR362C	IV	1196679	1198697	-	2019	679	925	712	776
YDR232W	IV	927452	929098	+	1647	11341	8129	9619	8717
YDR158W	IV	770357	771454	+	1098	11519	9573	10259	9736
YDR439W	IV	1339676	1340719	+	1044	207	200	241	217
YDL206W	IV	90176	92464	+	2289	645	468	504	654
YDR125C	IV	701397	702758	-	1362	489	348	359	423
YDR338C	IV	1147379	1149466	-	2088	794	664	653	709
YDR526C	IV	1491075	1491545	-	471	8	10	7	4
YDR533C	IV	1501447	1502160	-	714	698	600	650	526
YDR272W	IV	1009010	1009834	+	825	1050	1355	925	1127
YDR197W	IV	851228	852397	+	1170	775	605	630	568
YDR512C	IV	1470500	1471063	-	564	384	518	195	283
YDR489W	IV	1431012	1431896	+	885	492	396	401	413
YDR299W	IV	1059627	1061231	+	1605	930	2140	806	993
YDL015C	IV	426002	426934	-	933	5361	4136	4162	4003
YDR304C	IV	1071880	1072557	-	678	5769	4538	4215	4344
YDR271C	IV	1008395	1008766	-	372	0	0	0	0
YDL181W	IV	135179	135436	+	258	3597	2601	2118	2381
YDR367W	IV;IV	1212848;1212979	1212877;1213614	+;+	666	704	518	674	687
YDR085C	IV	614288	616150	-	1863	1065	1185	990	1128
YDL097C	IV	285391	286695	-	1305	4237	2996	3353	3506
YDL139C	IV	211375	212046	-	672	253	196	196	234
YDR200C	IV	854279	856093	-	1815	435	550	354	547
YDR191W	IV	842337	843449	+	1113	286	226	201	200
YDR451C	IV	1361120	1362181	-	1062	1135	1100	990	933
YDR469W	IV	1399015	1399542	+	528	408	472	297	422
YDR470C	IV	1399706	1401214	-	1509	1133	942	925	993
YDR105C	IV	665349	666770	-	1422	1885	1123	1396	1331
YDR483W	IV	1421157	1422485	+	1329	7871	6012	6666	5759
YDL123W	IV	241418	241840	+	423	210	103	128	143
YDL199C	IV	101290	103353	-	2064	602	330	431	486
YDR505C	IV	1456695	1459220	-	2526	2335	3177	1905	2729
YDL045W-A	IV	372248	372535	+	288	890	648	354	432
YDL045C	IV	372688	373608	-	921	883	887	686	713
YDR361C	IV	1195412	1196263	-	852	1785	1716	1991	1745
YDR406W-A	IV	1283799	1284044	+	246	0	0	0	0
YDR199W	IV	854175	854540	+	366	0	4	0	2
YDR266C	IV	1000104	1002023	-	1920	994	1010	1086	1123
YDL242W	IV	18959	19312	+	354	95	71	76	63
YDR002W	IV	453045	453650	+	606	9280	7515	8303	8372
YDR214W	IV	892875	893927	+	1053	3179	2163	2140	2405
YDR130C	IV	715747	716622	-	876	660	538	507	586
YDL176W	IV	142097	144223	+	2127	510	638	491	605
YDR358W	IV	1190059	1191732	+	1674	885	757	618	900
YDR544C	IV	1525095	1525523	-	429	0	0	0	0
YDR460W	IV	1383811	1384776	+	966	547	516	539	437
snR84	IV	1492477	1493026	-	550	30015	19671	27743	22057
YDR034W-B	IV	521314	521469	+	156	26	36	26	19
YDL028C	IV	400997	403291	-	2295	960	1166	893	1281
YDR061W	IV	574164	575783	+	1620	1312	1266	1082	1208
YDR060W	IV	570649	573726	+	3078	3740	6767	3984	4898
YDR169C-A	IV	794574	794723	-	150	39	27	34	43
YDR363W	IV	1199183	1200553	+	1371	384	642	308	415
YDR422C	IV	1315326	1317773	-	2448	1917	1659	1649	1792
YDR119W	IV	688227	690533	+	2307	4246	4096	4210	3779
tR(ACG)D	IV	619969	620041	-	73	2	8	1	0
YDR097C	IV	640109	643837	-	3729	2072	2781	2184	2464
YDR042C	IV	540601	541203	-	603	44	47	38	52
YDL160C	IV	170410	171930	-	1521	5829	4786	4840	5660
YDR425W	IV	1320064	1321941	+	1878	320	280	272	334
snR13	IV	1402919	1403042	+	124	47	27	31	27
YDR228C	IV	921926	923806	-	1881	655	873	536	572
YDR319C	IV	1105003	1105827	-	825	650	474	442	510
YDR471W	IV;IV	1401770;1402185	1401800;1402564	+;+	411	14286	11834	10399	10777
YDR089W	IV	622112	624721	+	2610	846	798	826	1050
tD(GUC)D	IV	568964	569035	+	72	0	0	0	0
YDR275W	IV	1012252	1012959	+	708	734	702	657	538
YDR043C	IV	542674	543369	-	696	260	236	222	201
YDR129C	IV;IV	713340;715359	715247;715379	-;-	1929	10349	9095	8626	9405
YDR136C	IV	727711	728283	-	573	7	4	6	7
YDL066W	IV	334835	336121	+	1287	16764	13294	15194	14587
YDR302W	IV	1067731	1068390	+	660	1024	801	924	719
YDR239C	IV	941057	943420	-	2364	1027	1026	890	1072
YDR539W	IV	1512094	1513605	+	1512	803	887	524	598
tK(CUU)D1	IV	1201750	1201822	+	73	0	1	0	3
YDL125C	IV;IV	239019;239510	239398;239606	-;-	477	5377	3595	3636	3700
YDR493W	IV	1436217	1436588	+	372	676	438	423	479
YDR101C	IV	655686	657467	-	1782	3511	4814	4378	3526
YDR182W-A	IV	829151	829354	+	204	18	39	11	7
YDR212W	IV	887232	888911	+	1680	9244	7454	9235	8053
YDR476C	IV	1410453	1411127	-	675	678	384	552	471
YDL131W	IV	227393	228715	+	1323	3370	2680	3039	2578
YDR458C	IV	1380055	1382046	-	1992	819	1353	685	1031
YDR081C	IV	607304	610081	-	2778	1158	1336	1067	1283
YDL071C	IV	330666	331040	-	375	45	30	17	19
YDR113C	IV	680496	681617	-	1122	584	681	450	566
YDR168W	IV	790328	791848	+	1521	1263	2082	778	1242
YDR520C	IV	1481085	1483403	-	2319	523	636	512	579
YDR307W	IV	1075865	1077853	+	1989	1102	1107	901	962
YDR265W	IV	998864	999877	+	1014	774	534	681	586
YDL076C	IV	320668	321552	-	885	588	581	508	647
YDL006W	IV	439909	440754	+	846	747	527	607	641
YDL086W	IV	301413	302234	+	822	507	339	454	395
YDR238C	IV	937895	940816	-	2922	9315	10077	9164	10264
YDR077W	IV	600793	601809	+	1017	9624	8506	6427	5919
YDR381C-A	IV;IV	1238312;1238825	1238630;1238850	-;-	345	411	474	268	362
YDL023C	IV	411761	412081	-	321	10	7	4	0
YDL083C	IV;IV	306926;307766	307333;307789	-;-	432	29931	20006	22573	20839
YDR036C	IV	523211	524713	-	1503	2410	2138	1775	2084
YDR057W	IV	565927	567555	+	1629	428	696	435	552
YDR513W	IV	1471017	1471448	+	432	3050	1894	1821	2074
YDR487C	IV	1428354	1428980	-	627	3089	2296	2453	2176
YDR066C	IV	581908	582498	-	591	259	292	198	229
YDR352W	IV	1181801	1182754	+	954	1054	902	972	951
YDR278C	IV	1017001	1017318	-	318	8	4	3	5
YDR079C-A	IV	603593	603811	-	219	369	237	322	229
YDR204W	IV	858137	859144	+	1008	1376	907	1040	1054
YDL247W-A	IV	3762	3836	+	75	40	30	49	40
YDL024C	IV	408451	409857	-	1407	157	160	106	92
tA(AGC)D	IV	410379	410451	+	73	1	0	0	0
YDR109C	IV	673520	675667	-	2148	550	769	583	692
YDR466W	IV	1395121	1397817	+	2697	1419	1351	939	1156
YDR427W	IV	1322205	1323386	+	1182	2659	2927	2292	2765
YDL044C	IV	373967	375289	-	1323	454	561	333	475
YDL079C	IV;IV	312951;314337	314044;314748	-;-	1506	2004	1450	1436	1821
YDR193W	IV	844554	844952	+	399	0	0	1	1
YDR305C	IV;IV	1072746;1073402	1073312;1073488	-;-	654	637	403	434	424
YDR377W	IV	1228611	1228916	+	306	7735	6348	5979	6469
YDR219C	IV	905455	906852	-	1398	857	1016	660	836
YDR416W	IV	1298432	1301011	+	2580	755	1127	830	1069
YDR365C	IV	1204497	1206383	-	1887	2052	4509	2231	2288
YDL233W	IV	36797	38173	+	1377	340	200	356	279
YDR287W	IV	1035995	1036873	+	879	595	570	461	505
YDR448W	IV	1356065	1357369	+	1305	597	774	595	744
YDR180W	IV	821295	825776	+	4482	1079	1705	1016	1100
tF(GAA)D	IV;IV	1095370;1095425	1095405;1095461	-;-	73	0	1	3	0
tT(AGU)D	IV	434264	434336	-	73	6	6	4	6
YDR294C	IV	1050459	1052228	-	1770	2229	1747	2109	2132
YDR198C	IV	852533	853972	-	1440	548	786	465	580
YDL163W	IV	166956	167258	+	303	0	0	0	0
YDL119C	IV	246689	247612	-	924	241	211	153	175
YDR501W	IV	1451353	1452918	+	1566	471	347	360	333
YDL214C	IV	74446	76545	-	2100	203	176	185	198
YDR264C	IV	996029	998323	-	2295	4256	3361	3926	3794
YDR343C	IV	1159608	1161320	-	1713	26277	17403	11920	10839
YDR373W	IV	1222759	1223331	+	573	1152	1025	1032	1142
YDR354W	IV	1184747	1185889	+	1143	1828	1528	1456	1340
YDR246W	IV	954288	954947	+	660	306	201	218	163
YDR428C	IV	1323454	1324239	-	786	507	521	453	517
YDR157W	IV	769931	770332	+	402	16	22	13	12
YDR316W	IV	1093763	1095178	+	1416	442	893	347	447
YDL142C	IV	201719	202570	-	852	865	524	611	555
YDR253C	IV	963990	964565	-	576	190	175	125	161
YDL112W	IV	258915	263225	+	4311	3067	4061	3199	3433
YDR545W	IV	1526321	1531711	+	5391	4	4	10	22
YDL187C	IV	125509	125838	-	330	0	3	7	0
YDL138W	IV	213351	215642	+	2292	1295	939	890	917
YDR528W	IV	1494586	1495857	+	1272	404	381	322	265
YDR284C	IV	1030550	1031419	-	870	1552	1157	1333	1323
YDR050C	IV	555726	556472	-	747	46290	34503	42893	42606
YDL010W	IV	432330	433025	+	696	86	113	84	61
YDL065C	IV	336249	337277	-	1029	418	688	319	369
YDR349C	IV	1172386	1174176	-	1791	2809	2420	2408	2344
YDL098C	IV	284581	285165	-	585	253	215	204	219
YDL234C	IV	34237	36477	-	2241	1741	1734	1427	1583
YDR118W	IV	685882	687840	+	1959	415	481	369	501
YDR118W-A	IV	687768	687884	+	117	12	6	5	6
YDR159W	IV	771877	775782	+	3906	899	1684	746	938
YDR111C	IV	678241	679764	-	1524	1086	1005	1197	1249
YDR128W	IV	709549	712995	+	3447	1989	2652	1833	2335
YDL034W	IV	391783	392127	+	345	43	56	33	27
YDR065W	IV	580687	581784	+	1098	296	451	239	345
YDL004W	IV	443029	443511	+	483	9908	8550	7558	8247
YDR024W	IV	491017	491502	+	486	111	86	70	84
YDL171C	IV	149203	155640	-	6438	32761	28100	32082	30606
YDR083W	IV	612073	613251	+	1179	652	1219	699	812
YDR457W	IV	1369790	1379596	+	9807	14438	17809	12603	16164
YDR014W	IV	474046	475989	+	1944	235	384	182	311
YDR206W	IV	862054	864708	+	2655	1776	2544	1849	2341
YDR478W	IV	1414575	1415171	+	597	143	189	195	160
YDR169C	IV	792348	793889	-	1542	881	572	521	556
YDR115W	IV	682175	682492	+	318	1112	845	750	721
YDL159W-A	IV	172182	172313	+	132	141	94	56	53
YDL232W	IV	38487	38597	+	111	1066	695	503	575
YDL240C-A	IV	22471	22608	-	138	6	1	3	1
tE(CUC)D	IV	1017207	1017278	-	72	0	0	0	0
YDL152W	IV	182822	183187	+	366	0	0	0	0
YDR432W	IV	1328783	1330027	+	1245	3704	2789	3486	3225
YDL022C-A	IV	409808	410056	-	249	13	7	11	7
YDL114W-A	IV	254935	255048	+	114	0	0	0	0
YDR410C	IV	1292372	1293091	-	720	790	582	614	536
YDR464C-A	IV	1392492	1392680	-	189	0	0	0	0
YDL072C	IV	329836	330447	-	612	2884	1872	2159	2119
YDR053W	IV	560249	560644	+	396	2	4	2	5
YDL012C	IV;IV	431108;431473	431386;431517	-;-	324	884	461	427	460
YDR482C	IV	1420431	1420838	-	408	319	311	190	267
YDL070W	IV	331024	332940	+	1917	2179	2853	2187	2542
YDR064W	IV;IV	579458;580018	579478;580452	+;+	456	32652	20635	25951	21655
YDL135C	IV	218680	219288	-	609	1185	1637	995	1249
YDL077C	IV	316971	320120	-	3150	980	1342	859	1229
YDR354C-A	IV	1185139	1185282	-	144	0	0	0	0
YDL033C	IV	392659	393912	-	1254	682	514	531	438
YDL031W	IV	394217	397204	+	2988	2514	3969	2898	2896
YDR398W	IV	1267471	1269402	+	1932	2745	3382	2777	2334
YDR326C	IV	1120609	1124925	-	4317	2786	3524	2390	2974
YDL052C	IV	362672	363583	-	912	1571	1169	1394	1391
YDR536W	IV	1508005	1509714	+	1710	359	394	240	285
YDR397C	IV;IV	1266366;1266862	1266769;1266898	-;-	441	9	11	8	8
YDL116W	IV	251566	253746	+	2181	1866	2436	1690	2045
YDR028C	IV	497835	500879	-	3045	2477	4735	2335	3520
YDL007W	IV	438047	439360	+	1314	2527	3197	1960	2961
YDR236C	IV	935236	935892	-	657	862	592	693	638
YDR011W	IV	465919	470424	+	4506	5664	5332	4876	5457
YDR155C	IV	768512	769000	-	489	6743	5578	4096	4285
YDR414C	IV	1295598	1296686	-	1089	577	527	474	432
YDR026C	IV	492556	494268	-	1713	526	863	505	778
YDL073W	IV	326613	329567	+	2955	702	1411	778	973
tY(GUA)D	IV;IV	946312;946365	946350;946400	+;+	75	0	2	2	4
YDL115C	IV;IV	253995;255045	254974;255126	-;-	1062	213	356	192	303
YDL145C	IV	194571	198176	-	3606	16524	16011	15651	17565
YDR203W	IV	857682	857999	+	318	0	0	0	0
YDL104C	IV	273653	274876	-	1224	444	514	419	477
YDL149W	IV	184925	187918	+	2994	722	709	473	673
YDR231C	IV	926293	926910	-	618	725	381	420	518
YDR045C	IV	547978	548310	-	333	382	624	397	398
YDL075W	IV;IV	322226;322704	322282;322988	+;+	342	25973	20148	15815	15510
YDR415C	IV	1297037	1298161	-	1125	782	651	502	625
YDR339C	IV	1149951	1150520	-	570	1101	1078	889	838
YDL213C	IV	77289	77966	-	678	969	1310	879	933
YDR096W	IV	637139	639823	+	2685	2225	1300	1472	1691
YDL019C	IV	417663	421514	-	3852	4334	4376	3106	4581
YDL022W	IV	411825	413000	+	1176	2170	996	1351	2091
YDR413C	IV	1294836	1295411	-	576	2	3	0	1
YDR391C	IV	1257358	1258056	-	699	665	517	356	360
YDR091C	IV	626708	628534	-	1827	6879	5883	7227	6673
YDR240C	IV	943674	945152	-	1479	743	823	587	624
YDL244W	IV	16204	17226	+	1023	78	83	80	97
YDR179C	IV	818708	819196	-	489	149	170	126	139
YDL165W	IV	164290	164865	+	576	1154	948	898	1026
YDL140C	IV	205360	210561	-	5202	20556	18781	21533	21952
YDR120C	IV	691549	693261	-	1713	2465	2660	2700	2230
YDR003W	IV	454122	454754	+	633	648	466	477	523
YDR499W	IV	1447830	1450073	+	2244	487	778	400	529
YDR166C	IV	786306	789221	-	2916	1196	1869	1041	1474
YDL092W	IV	292781	293221	+	441	1232	1102	785	863
YDL041W	IV	378102	378455	+	354	0	0	0	0
YDL241W	IV	20635	21006	+	372	211	140	242	168
YDL082W	IV;IV	308424;308793	308427;309388	+;+	600	15859	11715	14777	12980
YDR277C	IV	1014401	1015702	-	1302	3075	2608	2307	2340
YDR291W	IV	1039728	1042961	+	3234	1322	1796	1428	1451
YDR475C	IV	1407464	1410094	-	2631	1214	875	1029	972
YDR244W	IV	950563	952401	+	1839	1293	1373	1065	1130
YDR407C	IV	1284069	1287938	-	3870	1733	2149	1408	2012
YDR382W	IV	1239492	1239824	+	333	28122	20110	20519	20095
YDR102C	IV	657648	657980	-	333	66	44	76	39
YDL188C	IV	123865	124998	-	1134	2868	2075	2014	2219
YDR405W	IV	1277646	1278437	+	792	992	687	773	708
YDR443C	IV	1345676	1349938	-	4263	1168	1531	1017	1547
